,Pclass,Sex,Age,SibSp,Parch,Fare,ischild,Title,Surname
0,3,male,22.0,1,0,7.25,False,Mr,False
1,1,female,38.0,1,0,71.2833,False,Mrs,True
2,3,female,26.0,0,0,7.925,False,Miss,False
3,1,female,35.0,1,0,53.1,False,Mrs,True
4,3,male,35.0,0,0,8.05,False,Mr,False
5,3,male,28.0,0,0,8.4583,False,Mr,False
6,1,male,54.0,0,0,51.8625,False,Mr,False
7,3,male,2.0,3,1,21.075,True,Master,False
8,3,female,27.0,0,2,11.1333,False,Mrs,True
9,2,female,14.0,1,0,30.0708,False,Mrs,True
10,3,female,4.0,1,1,16.7,True,Miss,False
11,1,female,58.0,0,0,26.55,False,Miss,False
12,3,male,20.0,0,0,8.05,False,Mr,False
13,3,male,39.0,1,5,31.275,False,Mr,False
14,3,female,14.0,0,0,7.8542,False,Miss,False
15,2,female,55.0,0,0,16.0,False,Mrs,True
16,3,male,2.0,4,1,29.125,True,Master,False
17,2,male,28.0,0,0,13.0,False,Mr,False
18,3,female,31.0,1,0,18.0,False,Mrs,True
19,3,female,28.0,0,0,7.225,False,Mrs,False
20,2,male,35.0,0,0,26.0,False,Mr,False
21,2,male,34.0,0,0,13.0,False,Mr,False
22,3,female,15.0,0,0,8.0292,False,Miss,False
23,1,male,28.0,0,0,35.5,False,Mr,False
24,3,female,8.0,3,1,21.075,True,Miss,False
25,3,female,38.0,1,5,31.3875,False,Mrs,True
26,3,male,28.0,0,0,7.225,False,Mr,False
27,1,male,19.0,3,2,263.0,False,Mr,False
28,3,female,28.0,0,0,7.8792,False,Miss,False
29,3,male,28.0,0,0,7.8958,False,Mr,False
30,1,male,40.0,0,0,27.7208,False,Don,False
31,1,female,28.0,1,0,146.5208,False,Mrs,True
32,3,female,28.0,0,0,7.75,False,Miss,False
33,2,male,66.0,0,0,10.5,False,Mr,False
34,1,male,28.0,1,0,82.1708,False,Mr,False
35,1,male,42.0,1,0,52.0,False,Mr,False
36,3,male,28.0,0,0,7.2292,False,Mr,False
37,3,male,21.0,0,0,8.05,False,Mr,False
38,3,female,18.0,2,0,18.0,False,Miss,False
39,3,female,14.0,1,0,11.2417,False,Miss,False
40,3,female,40.0,1,0,9.475,False,Mrs,True
41,2,female,27.0,1,0,21.0,False,Mrs,True
42,3,male,28.0,0,0,7.8958,False,Mr,False
43,2,female,3.0,1,2,41.5792,True,Miss,False
44,3,female,19.0,0,0,7.8792,False,Miss,False
45,3,male,28.0,0,0,8.05,False,Mr,False
46,3,male,28.0,1,0,15.5,False,Mr,False
47,3,female,28.0,0,0,7.75,False,Miss,False
48,3,male,28.0,2,0,21.6792,False,Mr,False
49,3,female,18.0,1,0,17.8,False,Mrs,True
